LI Industry,TH Industry 1,TH Industry 2,3,4,5,6
Information Technology & Services,Information Technology,,,,,
Retail,Retailing,,,,,
Marketing & Advertising,Marketing Services,Digital Marketing Services,,,,
Computer Hardware,Technology Hardware & Equipment,,,,,
Apparel & Fashion,Consumer Durables & Apparel,,,,,
Computer Software,Software & Services,,,,,
Computer Networking,Computer Networking,,,,,
Mechanical Or Industrial Engineering,Construction & Engineering,,,,,
Machinery,Machinery,,,,,
Hospital & Health Care,Health Care,,,,,
"Health, Wellness & Fitness",Personal Products,,,,,
Publishing,Media & Entertainment,,,,,
Transportation/Trucking/Railroad,Transportation,,,,,
Legal Services,Professional Services,,,,,
Printing,Consumer Services,,,,,
Market Research,Marketing Services,,,,,
Computer & Network Security,Computer Networking,,,,,
Telecommunications,Telecommunication Services,,,,,
Public Relations & Communications,Digital Marketing Services,,,,,
Consumer Goods,Consumer Discretionary,,,,,
Financial Services,Diversified Financials,,,,,
Higher Education,Colleges & Universities,,,,,
Investment Management,Diversified Financials,,,,,
Medical Device,Health Care Equipment & Services,,,,,
Automotive,Automobiles & Components,,,,,
Import & Export,Supply Chain & Logistics Software,Air Freight & Logistics,,,,
Insurance,Insurance,,,,,
Real Estate,Real Estate,,,,,
Human Resources,Human Resources Software,,,,,
Military,Defense,,,,,
Staffing & Recruiting,IT Staffing & Recruiting,Staffing & Recruiting,,,,
Non-profit Organization Management,Non-Profit,,,,,
Oil & Energy,Energy,,,,,
Government Administration,Public,,,,,
Security & Investigations,Professional Services,,,,,
Education Management,Education Software,,,,,
Pharmaceuticals,Pharmaceuticals,,,,,
Internet,Internet Software & Services,,,,,
Building Materials,Building Products,,,,,
Airlines/Aviation,Airlines,,,,,
Civic & Social Organization,Non-Profit,,,,,
Outsourcing/Offshoring,IT Staffing & Recruiting,Staffing & Recruiting,,,,
Logistics & Supply Chain,Supply Chain & Logistics Software,Air Freight & Logistics,,,,
Consumer Services,Consumer Services,,,,,
Information Services,Information & Data Services,,,,,
Investment Banking,Diversified Financials,,,,,
Banking,Banks,,,,,
Defense & Space,Aerospace & Defense,,,,,
Electrical & Electronic Manufacturing,"Electronic Equipment, Instruments & Components",,,,,
Biotechnology,Biotechnology,,,,,
"Leisure, Travel & Tourism","Hotels, Restaurants & Leisure",,,,,<- wrong classification for some in current 
Hospitality,"Hotels, Restaurants & Leisure",,,,,
Industrial Automation,Technology Hardware & Equipment,,,,,
Wholesale,Retailing,,,,,
Management Consulting,Professional Services,,,,,
Entertainment,Media & Entertainment,,,,,
Law Practice,Professional Services,,,,,
Restaurants,"Hotels, Restaurants & Leisure",,,,,
Business Supplies & Equipment,Commercial & Professional Services,,,,,
Consumer Electronics,Consumer Discretionary,,,,,
Media Production,Media & Entertainment,,,,,
Food Production,Food Products,,,,,
Construction,Construction & Engineering,,,,,
Warehousing,Transportation,,,,,
Online Media,Media & Entertainment,,,,,
Broadcast Media,Media & Entertainment,,,,,
Law Enforcement,Public,,,,,
Design,Software & Services,Professional Services,,,,
Wireless,Wireless Telecommunication Services,,,,,
International Trade & Development,Commercial & Professional Services,,,,,
Sports,Media & Entertainment,,,,,
Facilities Services,Commercial & Professional Services,,,,,
Mining & Metals,Metals & Mining,,,,,
Fundraising,Commercial & Professional Services,,,,,
Civil Engineering,Commercial & Professional Services,,,,,
Events Services,Commercial & Professional Services,,,,,
Individual & Family Services,Diversified Consumer Services,,,,,
Gambling & Casinos,"Hotels, Restaurants & Leisure",,,,,
E-learning,Education Software,,,,,
Environmental Services,Commercial & Professional Services,,,,,
Computer Games,Software & Services,,,,,
Government Relations,Commercial & Professional Services,,,,,
Packaging & Containers,Containers & Packaging,,,,,
Mental Health Care,Health Care Providers & Services,,,,,
Performing Arts,Media & Entertainment,,,,,
Research,Commercial & Professional Services,,,,,
Food & Beverages,Food Products,,,,,
Philanthropy,Non-Profit,,,,,
Professional Training & Coaching,Commercial & Professional Services,,,,,
Utilities,Utilities,,,,,
Public Policy,Non-Profit,,,,,
Primary/Secondary Education,Public,,,,,
Medical Practice,Health Care Providers & Services,,,,,
Chemicals,Materials,,,,,
Accounting,Commercial & Professional Services,,,,,
Paper & Forest Products,Paper & Forest Products,,,,,
Farming,Industrials,,,,,
Aviation & Aerospace,Aerospace & Defense,,,,,
Venture Capital & Private Equity,Diversified Financials,,,,,
Alternative Medicine,Health Care,,,,,
Luxury Goods & Jewelry,"Textiles, Apparel & Luxury Goods",,,,,
Political Organization,Non-Profit,,,,,
Legislative Office,Public,,,,,
Capital Markets,Diversified Financials,,,,,
Public Safety,Public,,,,,
Maritime,Transportation,,,,,
Package/Freight Delivery,Containers & Packaging,,,,,
Wine & Spirits,"Food, Beverage & Tobacco",,,,,
Religious Institutions,Non-Profit,,,,,
Renewables & Environment,Energy,,,,,
Newspapers,Media & Entertainment,,,,,
Sporting Goods,Consumer Discretionary,,,,,
Arts & Crafts,Consumer Discretionary,,,,,
Textiles,"Textiles, Apparel & Luxury Goods",,,,,
Executive Office,Public,,,,,
Music,Media & Entertainment,,,,,
Furniture,Consumer Durables,,,,,
Plastics,Materials,,,,,
Supermarkets,"Consumer Staples",,,,,
"Architecture & Planning",Industrials,,"Capital Goods",,,
"Commercial Real Estate","Real Estate",,,,,
"Animation","IT Services",,,,,
"Fine Art","Professional Services",,,,,
"Photography","Consumer Services",,,,,
"Translation & Localization","Professional Services",,,,,
"Cosmetics","State and Local Government",,,,,
"Libraries","Non-Profit",,,,,
"Writing & Editing","Professional Services",,,,,
"Nanotechnology","Technology Hardware & Equipment",,,,,
"Motion Pictures & Film","Media & Entertainment",,,,,
"Recreational Facilities & Services","Consumer Services",,,,,
"Graphic Design","Software & Services",,,,,
"Veterinary","Consumer Services",,,,,
"Think Tanks","Non-Profit",,,,,
"International Affairs","Public",,,,,
"Museums & Institutions","Non-Profit",,,,,
