批次,来源,区县,物业点图层编号,物业点名称,"是否入场","是否完工",完工时间
1批次,区县分公司,锦江,,光华街49号院,是,是,21/04/2022
1批次,区县分公司,锦江,,中国银行锦江支行,是,是,21/04/2022
1批次,区县分公司,锦江,,滨江樾府,是,是,21/04/2022
1批次,区县分公司,锦江,,总府皇冠假日酒店,是,是,23/03/2022
1批次,区县分公司,锦江,,绿地468云图,是,是,21/04/2022
1批次,区县分公司,锦江,,南府街53号（岷山.清逸酒店）,是,是,21/04/2022
1批次,区县分公司,锦江,,锦城逸景D区,是,是,14/04/2022
1批次,区县分公司,锦江,,锦城逸景E区,是,是,14/04/2022
1批次,区县分公司,锦江,,锦城逸景F1区,是,是,14/04/2022
1批次,区县分公司,锦江,,锦城逸景F2区,是,是,14/04/2022
1批次,区县分公司,锦江,,联合广场,是,是,07/04/2022
1批次,区县分公司,锦江,,沙河壹号一期,是,是,21/04/2022
1批次,区县分公司,锦江,,成都市锦江区菱窠幼儿园,是,是,21/04/2022
1批次,区县分公司,锦江,,沙河壹号二期,是,是,21/04/2022
1批次,区县分公司,锦江,,成都锦江静平路780锦东服务中心,否,否,
1批次,区县分公司,锦江,,群艺大厦（笙平酒店）,是,是,21/04/2022
1批次,区县分公司,锦江,,郎基·望今缘,是,是,21/04/2022
1批次,区县分公司,邛崃,,稻香小区-西区,否,否,
1批次,区县分公司,邛崃,,金鸡沟售票处,否,否,
1批次,区县分公司,邛崃,,大梁酒庄乐翻天,否,否,
1批次,区县分公司,邛崃,,和风庭园,否,否,
1批次,区县分公司,邛崃,,成都市邛崃市羊安街道九龙大道2号锦德天府,否,否,
1批次,区县分公司,邛崃,,鑫海天城三期,否,否,
1批次,区县分公司,邛崃,,成都市邛崃市羊安镇安居B区小区,否,否,
1批次,区县分公司,邛崃,,上江小区-北区,是,是,22/04/2022
1批次,区县分公司,邛崃,,考棚馨苑,否,否,
1批次,区县分公司,邛崃,,滨水小区,是,是,22/04/2022
1批次,区县分公司,邛崃,,东南小区,是,是,22/04/2022
1批次,区县分公司,邛崃,,稻香小区-南区,否,否,
1批次,区县分公司,邛崃,,上江小区-东区,是,否,22/04/2022
1批次,区县分公司,邛崃,,稻香小区-东区,否,否,
1批次,区县分公司,邛崃,,上江小区-南区,是,否,22/04/2022
